City,Latitude,Longitude,Maximum Temp,Humidity,Clouds,Wind Speed,Country,Date
rundu,-17.93,19.77,70.83,22,0,2.35,NA,1597077184
giaveno,45.05,7.35,82.4,58,40,11.41,IT,1597077184
klyuchi,52.27,79.17,66.31,79,54,6.78,RU,1597077184
iberia,29.95,-91.75,89.6,62,1,6.93,US,1597077184
watsa,3.04,29.54,67.3,97,96,1.54,CD,1597077184
dali,25.7,100.18,63.48,87,93,4.97,CN,1597077184
tynda,55.17,124.72,54.52,92,98,4.07,RU,1597077184
bantry,51.68,-9.45,68.0,77,75,4.7,IE,1597077184
andenes,69.31,16.12,57.2,71,40,6.93,NO,1597077184
verkhniy mamon,50.16,40.38,71.6,54,69,3.36,RU,1597077184
robertsport,6.75,-11.37,77.45,79,99,14.2,LR,1597077185
hasaki,35.73,140.83,82.0,94,40,4.7,JP,1597077185
allende,25.28,-100.02,80.6,69,5,8.05,MX,1597077185
hambantota,6.12,81.12,80.6,83,40,9.17,LK,1597077059
geraldton,-28.77,114.6,60.8,72,54,13.87,AU,1597077052
lucea,18.45,-78.17,90.0,66,20,21.92,JM,1597077185
abaete,-19.16,-45.45,78.04,35,49,3.94,BR,1597077185
rocha,-34.48,-54.33,67.91,66,16,11.54,UY,1597077185
shelburne,44.08,-80.2,87.8,55,20,8.05,CA,1597077042
keetmanshoop,-26.58,18.13,69.8,18,0,9.17,NA,1597077185
belgrade,44.8,20.47,84.2,83,40,14.99,RS,1597076918
simao,22.79,100.97,66.34,96,98,1.57,CN,1597077185
roald,62.58,6.13,69.8,68,98,5.82,NO,1597077185
manokwari,-0.87,134.08,79.66,73,6,2.17,ID,1597077185
sawakin,19.11,37.33,95.47,45,21,13.67,SD,1597077185
inuvik,68.35,-133.72,44.6,100,90,4.7,CA,1597077185
petauke,-14.24,31.33,66.67,25,0,7.31,ZM,1597077185
sao filipe,14.9,-24.5,77.16,79,26,8.28,CV,1597077185
road town,18.42,-64.62,89.6,59,40,10.29,VG,1597077185
mosquera,4.71,-74.23,60.8,63,75,13.87,CO,1597076966
mendi,-6.18,143.65,56.39,100,100,1.28,PG,1597077185
yulara,-25.24,130.99,64.4,77,90,6.93,AU,1597077072
paamiut,61.99,-49.67,40.57,82,0,18.59,GL,1597077079
damavand,35.72,52.06,95.0,13,34,4.7,IR,1597077186
north vanlaiphai,23.13,93.07,65.71,100,100,0.63,IN,1597077186
erenhot,43.65,111.98,72.99,28,12,5.91,CN,1597077154
sabha,27.04,14.43,103.59,11,31,8.41,LY,1597077186
maceio,-9.67,-35.74,80.6,51,20,8.05,BR,1597077056
corn island,12.17,-83.04,83.68,81,100,22.26,NI,1597077186
jining,35.41,116.58,77.25,92,0,4.9,CN,1597077186
mattru,7.62,-11.83,79.39,74,85,7.54,SL,1597077186
pingliang,35.54,106.69,69.98,82,100,3.09,CN,1597077186
killybegs,54.63,-8.45,64.4,93,75,4.7,IE,1597077186
cabedelo,-6.98,-34.83,80.6,65,75,17.22,BR,1597077154
rock springs,41.59,-109.2,71.6,19,1,9.95,US,1597077186
ponta delgada,37.73,-25.67,73.4,83,40,8.05,PT,1597077186
lodja,-3.48,23.43,78.57,68,72,2.44,CD,1597077186
mahon,39.89,4.27,84.2,66,21,8.05,ES,1597077057
san francisco,37.77,-122.42,64.99,77,75,4.7,US,1597077135
peniche,39.36,-9.38,73.99,80,100,8.01,PT,1597077186
khlung,12.45,102.22,79.02,87,93,6.89,TH,1597077186
kartaly,53.05,60.65,60.75,88,43,9.22,RU,1597077186
chokurdakh,70.63,147.92,38.82,74,100,6.24,RU,1597077187
nsanje,-16.92,35.26,70.12,29,29,2.44,MW,1597077187
flinders,-34.58,150.86,53.01,85,55,1.01,AU,1597077187
byron bay,-28.65,153.62,57.2,58,40,11.41,AU,1597077098
snezhnogorsk,69.19,33.25,51.8,76,75,4.47,RU,1597077187
port hedland,-20.32,118.57,68.0,77,75,10.29,AU,1597077100
pietersburg,-23.9,29.47,71.6,26,0,8.05,ZA,1597077187
victoria point,-27.58,153.3,55.99,67,0,4.0,AU,1597077187
matara,5.95,80.54,78.91,85,96,9.26,LK,1597077187
coihaique,-45.58,-72.07,41.0,48,40,4.7,CL,1597076943
kloulklubed,7.04,134.26,77.0,94,75,9.33,PW,1597077187
margate,51.38,1.39,93.99,28,49,4.0,GB,1597077187
wattegama,6.8,81.48,80.6,83,40,9.17,LK,1597077187
somerset east,-32.72,25.59,49.91,49,0,1.03,ZA,1597077187
mao,39.89,4.27,84.2,66,21,8.05,ES,1597077187
bratsk,56.13,101.61,62.6,59,65,2.24,RU,1597077187
pecos,31.42,-103.49,89.6,38,1,9.17,US,1597077187
qaqortoq,60.72,-46.03,53.6,54,20,9.17,GL,1597076944
sola,-13.88,167.55,75.2,94,20,13.82,VU,1597077187
kikwit,-5.04,18.82,88.48,37,58,3.98,CD,1597077187
trinidad,-14.83,-64.9,87.8,55,20,11.41,BO,1597077188
maha sarakham,16.18,103.3,80.6,94,75,2.24,TH,1597077188
tautira,-17.73,-149.15,73.4,73,75,3.36,PF,1597077188
evensk,61.95,159.23,47.62,91,16,2.53,RU,1597077188
batemans bay,-35.72,150.18,42.01,92,72,5.44,AU,1597077188
kahului,20.89,-156.47,78.8,65,40,12.75,US,1597077188
baft,29.23,56.61,82.17,27,99,7.18,IR,1597077188
cuacnopalan,18.82,-97.5,70.0,60,76,7.0,MX,1597077188
bahia honda,22.9,-83.16,88.2,64,8,9.6,CU,1597077188
katsuura,35.13,140.3,84.0,89,7,4.0,JP,1597077188
nicoya,10.15,-85.45,84.2,74,75,4.7,CR,1597077188
sardulgarh,29.7,75.25,92.26,58,99,8.37,IN,1597077188
hit,33.64,42.83,91.99,18,12,9.69,IQ,1597077188
qeshm,26.96,56.27,95.0,75,40,9.17,IR,1597077188
wladyslawowo,54.79,18.4,77.0,64,2,10.29,PL,1597077188
nyzhnya duvanka,49.58,38.17,73.78,55,88,7.0,UA,1597077188
bilma,18.69,12.92,101.7,18,40,9.89,NE,1597077070
kalia,23.04,89.63,82.09,90,97,7.4,BD,1597077189
caravelas,-17.71,-39.25,71.2,87,90,6.02,BR,1597077189
hualmay,-11.1,-77.61,66.45,64,49,9.69,PE,1597077063
turukhansk,65.82,87.98,55.99,81,0,8.34,RU,1597077189
ereymentau,51.62,73.1,69.8,53,44,7.94,KZ,1597077189
carutapera,-1.2,-46.02,85.42,64,60,8.84,BR,1597077189
bubaque,11.28,-15.83,78.55,87,100,20.6,GW,1597077189
arman,59.7,150.17,50.63,83,0,2.93,RU,1597077125
papara,-3.98,-38.73,84.2,58,3,14.99,BR,1597077189
teya,60.38,92.63,62.11,53,0,1.23,RU,1597077189
vestmanna,62.16,-7.17,57.2,87,75,11.41,FO,1597077189
bulgan,48.81,103.53,53.26,79,77,1.36,MN,1597077153
badiraguato,25.37,-107.52,89.6,62,40,3.56,MX,1597077189
deogarh,21.53,84.73,80.96,86,94,1.45,IN,1597077189
payson,40.04,-111.73,82.0,11,1,4.7,US,1597077189
hofn,64.25,-15.21,53.6,93,90,9.17,IS,1597077106
ust-maya,60.42,134.53,61.39,67,99,3.47,RU,1597077189
clinton,42.59,-82.92,87.01,66,75,4.7,US,1597077166
at-bashi,41.17,75.81,58.23,46,14,1.95,KG,1597077189
grants,35.15,-107.85,77.0,18,1,3.36,US,1597077189
orange,33.7,-117.77,69.01,77,75,4.7,US,1597076913
baleshwar,21.49,86.93,84.22,83,94,6.93,IN,1597077190
sarai sidhu,30.59,71.97,86.0,84,75,6.93,PK,1597077190
sabirabad,40.01,48.48,80.6,61,20,11.41,AZ,1597077190
vaitape,-16.52,-151.75,78.58,65,2,7.94,PF,1597077190
port blair,11.67,92.75,82.17,85,100,13.11,IN,1597077190
lubyany,56.04,51.4,60.8,67,20,13.42,RU,1597077190
nador,35.17,-2.93,86.0,74,71,5.82,MA,1597077104
fare,-16.7,-151.02,78.17,67,0,6.89,PF,1597077190
vila do maio,15.13,-23.22,84.2,66,40,4.7,CV,1597077190
ahuimanu,21.44,-157.84,78.8,69,40,10.29,US,1597077190
muyezerskiy,63.93,31.65,50.97,89,100,11.23,RU,1597077190
muli,2.92,73.57,82.89,76,100,10.76,MV,1597077190
townsville,-19.25,146.8,55.99,93,0,1.12,AU,1597076935
shaoyang,27.23,111.45,77.38,90,53,1.7,CN,1597077190
totness,5.88,-56.32,83.88,81,45,5.61,SR,1597077190
san quintin,30.48,-115.95,74.86,59,0,11.59,MX,1597077190
tutoia,-2.76,-42.27,89.2,48,2,8.99,BR,1597077191
dunedin,-45.87,170.5,45.0,69,43,10.0,NZ,1597077084
narasannapeta,18.42,84.05,83.05,81,33,5.26,IN,1597077191
launceston,-41.45,147.17,37.4,100,90,4.7,AU,1597077191
labuhan,-6.88,112.21,77.72,83,88,9.17,ID,1597077191
lethem,3.38,-59.8,89.28,60,59,1.32,GY,1597077191
iralaya,15.0,-83.23,80.6,88,90,17.22,HN,1597077191
srednekolymsk,67.45,153.68,40.26,86,97,8.34,RU,1597077191
saint-louis,16.33,-15.0,98.6,42,32,2.24,SN,1597077191
skibbereen,51.55,-9.27,68.0,72,75,2.24,IE,1597077191
izacic,44.88,15.78,84.99,56,4,1.07,BA,1597077191
bay roberts,47.6,-53.26,84.99,62,24,6.78,CA,1597077191
talaya,61.38,152.75,53.49,65,46,6.89,RU,1597077191
markova,48.68,24.41,80.6,51,75,2.24,UA,1597077191
huilong,31.81,121.66,91.0,99,91,14.29,CN,1597077191
banda aceh,5.56,95.32,82.51,70,99,7.4,ID,1597077073
port keats,-14.25,129.55,70.02,84,94,1.07,AU,1597077191
belaya gora,68.53,146.42,39.54,73,76,5.5,RU,1597077192
asandh,29.52,76.6,83.34,83,100,9.26,IN,1597077192
nantucket,41.28,-70.1,78.8,78,75,13.87,US,1597077009
bonavista,48.65,-53.11,69.64,67,0,6.29,CA,1597077192
dashitou,43.31,128.51,66.78,87,100,1.16,CN,1597077192
warrington,53.39,-2.58,82.0,68,20,14.99,GB,1597077192
camana,-16.62,-72.71,64.56,61,47,8.84,PE,1597077192
ust-tsilma,65.44,52.15,49.23,91,75,4.12,RU,1597077192
nelson bay,-32.72,152.15,54.0,100,40,11.41,AU,1597077192
sumbe,-11.21,13.84,73.4,81,25,9.17,AO,1597077192
mongo,12.18,18.69,76.46,83,74,3.0,TD,1597077192
jasper,37.2,-94.35,90.0,58,1,16.11,US,1597077192
biu,10.61,12.19,74.34,84,91,4.65,NG,1597077192
canico,32.63,-16.85,77.0,61,40,17.22,PT,1597077192
yenagoa,4.92,6.26,79.21,71,100,9.13,NG,1597077192
cocal,-28.62,-49.35,84.78,33,0,1.68,BR,1597077192
chernyshevskiy,63.01,112.47,55.42,66,22,7.07,RU,1597077192
okha,53.57,142.95,55.69,95,100,18.21,RU,1597077193
vila,42.03,-8.16,84.0,54,100,5.99,PT,1597077193
taunggyi,20.78,97.03,65.08,100,100,3.89,MM,1597077193
